i,db_id,question,gold_sql,pred_sql,latency_s,model,difficulty,EM,EX
0,concert_singer,How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer;,0.7440917491912842,Mistral-7B-Instruct-v0.2,unknown,False,True
1,concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer;,0.5510179996490479,Mistral-7B-Instruct-v0.2,unknown,False,True
2,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT singer.Name, singer.Country, singer.Age
FROM singer
ORDER BY singer.Age DESC;",1.4510369300842285,Mistral-7B-Instruct-v0.2,unknown,False,True
3,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT singer.Name, singer.Country, singer.Age
FROM singer
ORDER BY singer.Age DESC;",1.4257478713989258,Mistral-7B-Instruct-v0.2,unknown,False,True
4,concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(singer.Age), MIN(singer.Age), MAX(singer.Age)
FROM singer
WHERE Country = 'France';",2.039289712905884,Mistral-7B-Instruct-v0.2,unknown,False,True
5,concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(singer.Age) AS average_age, MIN(singer.Age) AS minimum_age, MAX(singer.Age) AS maximum_age
FROM singer
WHERE Country = 'French';",2.7720627784729004,Mistral-7B-Instruct-v0.2,unknown,False,False
6,concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT singer.Name, singer.Song_release_year
FROM singer
ORDER BY singer.Age ASC
LIMIT 1;",1.6544263362884521,Mistral-7B-Instruct-v0.2,unknown,False,False
7,concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT singer.Name, singer.Song_release_year
FROM singer
ORDER BY singer.Age ASC
LIMIT 1;",1.63265061378479,Mistral-7B-Instruct-v0.2,unknown,False,False
8,concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,"SELECT singer.Country
FROM singer
WHERE Age > 20;",0.9459395408630371,Mistral-7B-Instruct-v0.2,unknown,False,False
9,concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,"SELECT singer.Country
FROM singer
WHERE Age > 20;",0.9540901184082031,Mistral-7B-Instruct-v0.2,unknown,False,False
