i,db_id,question,gold_sql,pred_sql,latency_s,model,difficulty,EM,EX
0,concert_singer,How many singers do we have?,SELECT count(*) FROM singer,SELECT count(Singer_ID) FROM singer,1.408921241760254,gemma-3-4b-it,unknown,False,True
1,concert_singer,What is the total number of singers?,SELECT count(*) FROM singer,SELECT count(Singer_ID) FROM singer,1.1445083618164062,gemma-3-4b-it,unknown,False,True
2,concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC",1.3090999126434326,gemma-3-4b-it,unknown,False,True
3,concert_singer,"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT Name, Country, Age FROM singer ORDER BY Age DESC",1.383000135421753,gemma-3-4b-it,unknown,False,True
4,concert_singer,"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = ""France""",2.063734292984009,gemma-3-4b-it,unknown,False,True
5,concert_singer,"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = ""France""",2.074547052383423,gemma-3-4b-it,unknown,False,True
6,concert_singer,Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT
  T1.Song_Name,
  T1.Song_release_year
FROM singer AS T1
INNER JOIN singer_in_concert AS T2
  ON T1.Singer_ID = T2.Singer_ID
ORDER BY
  T1.Age
LIMIT 1;",5.58057427406311,gemma-3-4b-it,unknown,False,True
7,concert_singer,What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT Song_Name, Song_release_year FROM singer WHERE Age = (SELECT MIN(Age) FROM singer)",2.3277108669281006,gemma-3-4b-it,unknown,False,True
8,concert_singer,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE Age > 20,1.3172645568847656,gemma-3-4b-it,unknown,True,True
9,concert_singer,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT singer.Country FROM singer JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID WHERE singer.Age > 20,3.2616584300994873,gemma-3-4b-it,unknown,False,False
10,concert_singer,Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT singer.Country, COUNT(singer.Country) AS num_singers FROM singer GROUP BY singer.Country",2.1831092834472656,gemma-3-4b-it,unknown,False,True
